iter	RMSE
172	0.5850784294
173	0.584857787
174	0.5845682734
175	0.5841629537
176	0.5836555436
177	0.5835839701
178	0.5826435524
179	0.5821573889
180	0.5812353517
181	0.5807835706
182	0.5802922699
183	0.5802153903
184	0.5796499365
185	0.5791424983
186	0.5787544772
187	0.5784092792
188	0.5780790203
189	0.5778029649
190	0.577406714
191	0.5769514203
192	0.5764500648
193	0.5763226025
194	0.576259162
195	0.5757701567
196	0.5754256507
197	0.5750885278
198	0.5748388434
199	0.5746307139
200	0.5743321796
201	0.5742281657
202	0.5741272475
203	0.5738403475
204	0.5737013109
205	0.5733118215
206	0.5727324641
207	0.5723612381
208	0.5715804506
209	0.5714229738
210	0.5713810807
211	0.5708263921
212	0.570774358
213	0.5703034019
214	0.5693367858
215	0.5689175452
216	0.5687288197
217	0.5682074225
218	0.567469203
219	0.5673979054
220	0.5673639201
221	0.5673322397
222	0.5671978752
223	0.566831697
224	0.5667185976
225	0.5658896274
226	0.565769626
227	0.5651417866
228	0.5650861681
229	0.5650299904
230	0.5649452019
231	0.5649208466
232	0.5644832211
233	0.5634570975
234	0.562349909
235	0.5622633723
236	0.5621886476
237	0.5613672045
238	0.5607162254
239	0.5601145749
240	0.5598694067
241	0.559845289
242	0.5589638763
243	0.5589403747
244	0.5589145792
245	0.5588426699
246	0.5582495651
247	0.5579715544
248	0.5575754474
249	0.5575361435
250	0.5563895678
251	0.5559745472
252	0.5555835942
253	0.5549868925
254	0.5548500169
255	0.5547610077
256	0.5545974733
257	0.5545153556
258	0.5544757308
259	0.55441711
260	0.5539300479
261	0.5535559199
262	0.5535311787
263	0.5531020544
264	0.5527832957
265	0.552333657
266	0.551782395
267	0.5517320671
268	0.5517141148
269	0.551263698
270	0.5510084837
271	0.5504671155
272	0.5498871688
273	0.5491763855
274	0.5485362735
275	0.5477297507
276	0.5471278625
277	0.5464255846
278	0.5461094277
279	0.5454394951
280	0.5449684614
281	0.5442733955
282	0.5436674233
283	0.5436484458
284	0.5434581573
285	0.5430625307
286	0.5424599198
287	0.5420740989
288	0.5418439527
289	0.5412092663
290	0.5409484353
291	0.5407418482
292	0.5403588859
293	0.5400179492
294	0.5387607021
295	0.5387477197
296	0.5383528683
297	0.5379638599
298	0.5376688232
299	0.5375207498
300	0.5368611502
301	0.5363388038
302	0.5363255716
303	0.535426047
304	0.5346301919
305	0.5340051261
306	0.5339555948
307	0.5331531125
308	0.5325212296
309	0.5325055693
310	0.5319640383
311	0.5311108992
312	0.5304751042
313	0.5300000117
314	0.5296400972
315	0.5291397529
316	0.5289346579
317	0.5288603295
318	0.5283894242
319	0.527714909
320	0.5270826595
321	0.5266765857
322	0.5262858735
323	0.5260808408
324	0.525888907
325	0.5253633277
326	0.5252155996
327	0.5245015798
328	0.5242052631
329	0.5235987865
330	0.5229803644
331	0.5226249621
332	0.5221998471
333	0.521859071
334	0.5213181909
335	0.5208962426
336	0.5201595969
337	0.5193383377
338	0.5188918172
339	0.5187029195
340	0.5183046851
341	0.518173437
342	0.5175345734
343	0.5172426099
344	0.5165491101
345	0.5162395713
346	0.5159423969
347	0.5153520828
348	0.5145286806
349	0.514262933
350	0.5137211148
351	0.5134746743
352	0.5134287217
353	0.5127753658
354	0.5125375161
355	0.51214467
356	0.5118355835
357	0.5113863962
358	0.5107272883
